Código ISIC Divisão,Descrição ISIC Divisão,Código ISIC Grupo,Descrição ISIC Grupo,2023 - Valor FOB (US$),2022 - Valor FOB (US$),2021 - Valor FOB (US$),2020 - Valor FOB (US$),2019 - Valor FOB (US$),2018 - Valor FOB (US$),2017 - Valor FOB (US$),2016 - Valor FOB (US$),2015 - Valor FOB (US$),2014 - Valor FOB (US$),2013 - Valor FOB (US$),2012 - Valor FOB (US$)
25,"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos",259,Fabricação de outros produtos metálicos fabricados; atividades de serviços de usinagem,1347448897,1777436074,1511294309,1157042201,1307800958,1439814864,1413444237,1264968744,1388939472,1576788953,1637396381,1791693230
16,"Fabricação de madeira e de produtos de madeira e cortiça, exceto móveis; fabricação de artigos de palha e de cestaria",161,Serração e aplainamento de madeira,1309397030,2155527207,1807903146,1418843013,1415714852,1413124425,1293224107,1132882994,1076065121,1078507760,956064093,983676944
21,Fabricação de produtos farmacêuticos básicos e preparações farmacêuticas,210,"Fabricação de produtos farmacêuticos, produtos químicos medicinais e botânicos",1121239621,1532780823,1191505346,1144597706,1232250443,1261315175,1335244324,1285839061,1401654660,1670951264,1625143659,1616342159
15,Fabricação de couro e produtos afins,152,Fabricação de calçado,1087715256,1469966589,1043406768,738530994,1090522575,1134784686,1278009417,1164769124,1113784841,1237445194,1262956696,1286232377
22,Fabricação de produtos de borracha e plásticos,222,Fabricação de produtos plásticos,1043971780,1294845073,1170833485,928030934,905470827,949465944,947843427,838130834,866752591,926320165,974464962,929268714
89,Não classificado,899,Não classificado,1014289122,1078986504,1236592779,795606419,688658851,2874485114,3291907712,2668163494,3605720115,5419410093,5411099651,5929992015
15,Fabricação de couro e produtos afins,151,"Curtimento e vestuário de couro; fabricação de malas, bolsas, selaria e arreios",971698139,1271492820,1476245482,1021076609,1213593419,1503260484,1978237601,2117461791,2339341794,3016179106,2565726097,2146965883
08,Extração de outros minerais,089,Extração de outros minerais n.c,830767649,736920291,364718213,263704597,224916719,307172335,285602666,242022551,274906764,286384149,260938721,270785307
31,Fabricação de móveis,310,Fabricação de móveis,718577285,944415107,1025561845,679292635,693349826,695598076,625953215,585252947,580720200,666444536,675803438,696450865
01,"Produção vegetal, animal e caça",014,Produção animal,629241895,452347233,348730416,417766215,550187130,744388849,502889065,400823552,391294843,871294459,870394730,721205171
35,"Fornecimento de eletricidade, gás, vapor e ar condicionado",351,"Geração, transmissão e distribuição de energia elétrica",553789125,343874675,21644781,1950245,0,0,12098456,26300885,0,0,1785737,410028622
26,"Fabricação de produtos informáticos, eletrônicos e ópticos",265,"Fabricação de equipamentos de medição, teste, navegação e controle; cronômetros e relógios",543276665,528237430,479369836,355180097,686716440,687286365,579090133,533995166,494000333,563865461,565038878,570340288
30,Fabricação de outro equipamento de transporte,301,Construção de navios e barcos,502406064,64234625,65309023,53941754,65402554,41242683,28663240,196074128,82748183,90050584,70692876,496941274
10,Fabricação de produtos alimentícios,106,"Fabricação de produtos de moinhos de cereais, amidos e féculas",471506713,659770202,580290583,613684374,454857802,422422967,398087387,344694343,438412420,437989696,434158170,613793299
25,"Fabricação de produtos metálicos fabricados, exceto máquinas e equipamentos",252,Fabricação de armas e munições,459499898,415641615,349709005,310049855,366131745,340915832,475095355,340144644,358928497,309622824,349159135,309118611
27,Fabricação de equipamentos elétricos,273,Fabricação de fiação e dispositivos de fiação,457800392,542220373,458417033,316747984,399455118,514475966,431635173,355936314,354681370,391380630,463666666,501482079
